Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase
0,1,0.710015556104109,18011.07:23:42.9745674,3,Start
0,1,0.628870606792345,18011.07:23:42.9885911,3,Start
0,1,0.605237616024911,18011.07:23:43.0025394,3,Start
0,1,0.676250165563822,18011.07:23:43.0175238,3,Start
0,1,0.673276978674531,18011.07:23:43.0315098,3,Start
0,1,0.670110949451476,18011.07:23:43.0454955,3,Start
0,1,0.708638889915496,18011.07:23:43.0594812,3,Start
0,1,0.662479380486906,18011.07:23:43.0744656,3,Start
0,1,0.605563792476058,18011.07:23:43.0884513,3,Start
0,1,0.613218154764921,18011.07:23:43.1024373,3,Start
0,1,0.612381881096959,18011.07:23:43.1165460,3,Start
0,1,0.625327028176188,18011.07:23:43.1315198,3,Start
0,1,0.647376880595088,18011.07:23:43.1455170,3,Start
0,1,0.650790850187838,18011.07:23:43.1595012,3,Start
0,1,0.638851439134776,18011.07:23:43.1744657,3,Start
0,1,0.63347629160434,18011.07:23:43.1884716,3,Start
0,1,0.624266782349348,18011.07:23:43.2024651,3,Start
0,1,0.616420115754381,18011.07:23:43.2174441,3,Start
0,1,0.61141139016673,18011.07:23:43.2314319,3,Start
0,1,0.611652958383784,18011.07:23:43.2454734,3,Start
0,1,0.617219821589068,18011.07:23:43.2594603,3,Start
0,1,0.627844969202578,18011.07:23:43.2734544,3,Start
0,1,0.637736390577629,18011.07:23:43.2885063,3,Start
0,1,0.647523597064614,18011.07:23:43.3025577,3,Start
0,1,0.655982371862233,18011.07:23:43.3166212,3,Start
0,1,0.659031685801968,18011.07:23:43.3316013,3,Start
0,1,0.675634724028036,18011.07:23:43.3456304,3,Start
0,1,0.736028888282925,18011.07:23:43.3596161,3,Start
0,1,0.72574599673897,18011.07:23:43.3736027,3,Start
0,1,0.669610116147995,18011.07:23:43.3886136,3,Start
0,1,0.657593350970373,18011.07:23:43.4025942,3,Start
0,1,0.653686342191324,18011.07:23:43.4175852,3,Start
0,1,0.672132763056457,18011.07:23:43.4305711,3,Start
0,1,0.639468254407495,18011.07:23:43.4455557,3,Start
0,1,0.702679233011976,18011.07:23:43.4595963,3,Start
0,1,0.662085362486541,18011.07:23:43.4735278,3,Start
0,1,0.745031975981593,18011.07:23:43.4885130,3,Start
0,1,0.612518106975034,18011.07:23:43.5025940,3,Start
0,1,0.608729724451899,18011.07:23:43.5175796,3,Start
0,1,0.633919233942404,18011.07:23:43.5305669,3,Start
0,1,0.701146439381689,18011.07:23:43.5445514,3,Start
0,1,0.62506256701164,18011.07:23:43.5595358,3,Start
